Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-10-19,65.22,64.36,64.08,64.85,2066,365126
2020-10-20,65.73,64.39,64.36,64.68,2053,238584
2020-10-21,64.71,63.72,63.71,64.25,2108,364231
2020-10-22,63.99,63.24,62.98,63.99,2641,1207447
2020-10-23,64.02,63.45,63.12,63.47,2774,564368
2020-10-26,63.82,63.21,61.48,63.51,4623,593781
2020-10-27,63.15,61.97,61.86,62.95,2778,423677
2020-10-28,61.22,58.99,58.8,61.01,3784,594151
2020-10-29,61.16,60.79,58.8,58.89,3249,489675
2020-10-30,61.3,61.28,59.82,60.35,3290,686161
2020-11-02,62.75,62.14,61.09,62.19,2678,510508
2020-11-03,63.85,62.71,62.09,62.93,2994,412919
2020-11-04,63.64,62.3,62.0,62.68,3613,589845
2020-11-05,63.85,62.63,62.59,63.32,3858,490865
2020-11-06,63.8,63.58,62.74,62.97,2827,457460
2020-11-09,67.13,63.5,63.43,67.0,4507,923925
2020-11-10,65.91,65.74,63.32,63.38,4214,623305
2020-11-11,66.32,66.12,64.74,65.86,2352,415262
2020-11-12,66.45,65.99,65.44,66.18,3899,488554
2020-11-13,66.71,65.57,65.23,66.13,2785,449146
2020-11-16,67.62,67.39,65.69,66.22,4136,627571
2020-11-17,67.93,67.2,66.32,67.16,2582,554767
2020-11-18,67.97,66.63,66.51,67.31,3909,804592
2020-11-19,67.17,66.16,65.61,66.62,3418,552258
2020-11-20,66.74,66.32,66.01,66.09,3010,859673
2020-11-23,67.53,67.25,66.56,66.64,3560,609417
2020-11-24,67.98,67.4,66.89,67.98,4153,1234833
2020-11-25,67.47,67.38,66.42,67.44,2879,355479
2020-11-27,68.17,67.34,66.94,67.55,1550,218388
2020-11-30,67.68,66.94,66.38,66.84,2778,815566
2020-12-01,68.16,66.83,66.78,67.42,3846,556458
2020-12-02,67.27,65.69,65.57,66.62,3105,488898
2020-12-03,66.83,65.49,65.36,65.77,2581,390155
2020-12-04,66.0,65.16,64.89,65.65,2598,706528
2020-12-07,65.26,64.85,64.08,64.98,2661,884936
2020-12-08,66.15,66.11,64.74,64.78,3286,1135430
2020-12-09,66.21,65.49,65.19,65.69,2393,702089
2020-12-10,66.11,64.0,63.86,65.21,3215,811350
2020-12-11,63.87,63.73,63.0,63.33,2742,918360
2020-12-14,64.49,62.78,62.52,64.49,2690,523735
2020-12-15,65.57,64.73,62.96,63.11,2698,632595
2020-12-16,65.32,65.24,64.48,64.93,3049,611368
2020-12-17,66.29,65.79,65.63,65.77,2332,533510
2020-12-18,66.17,65.61,64.59,65.99,3407,2573561
2020-12-21,66.47,66.15,64.68,64.94,5367,703965
2020-12-22,65.99,65.41,65.1,65.84,2428,489152
2020-12-23,66.21,65.63,65.49,65.49,2248,343138
2020-12-24,65.97,65.79,65.31,65.45,848,111217
2020-12-28,66.6,66.0,65.6,66.18,2233,285029
2020-12-29,66.6,65.69,65.14,66.31,2497,482984
2020-12-30,66.82,66.72,65.79,65.79,2270,335878
2020-12-31,67.68,67.55,66.58,66.86,2226,429134
2021-01-04,68.0,65.59,65.55,67.55,4727,965932
2021-01-05,66.36,65.1,64.8,65.82,2812,437979
2021-01-06,67.33,66.91,65.41,65.84,3322,514327
2021-01-07,67.95,67.78,66.93,67.3,3899,590806
2021-01-08,67.94,66.83,65.85,67.47,2979,968329
2021-01-11,66.79,66.36,65.81,66.22,2808,699466
2021-01-12,66.75,65.23,65.08,66.27,3234,611445
2021-01-13,65.51,63.97,63.85,65.19,5157,1023135
2021-01-14,65.36,64.94,63.82,64.2,4037,651883
2021-01-15,65.69,65.53,63.62,64.81,3260,707825
2021-01-19,66.45,65.37,64.92,66.0,2915,967489
2021-01-20,66.5,65.19,64.89,65.8,3172,609616
2021-01-21,65.24,63.52,63.47,65.24,3586,1490791
2021-01-22,65.19,64.88,63.25,63.52,3287,1185835
2021-01-25,64.39,64.22,62.0,64.0,5535,1155212
2021-01-26,65.01,63.51,62.27,64.6,5825,930241
2021-01-27,63.0,62.24,61.28,62.68,5044,931510
2021-01-28,64.8,63.83,62.33,62.6,5928,1103649
2021-01-29,65.78,64.65,63.49,65.11,8927,5281522
2021-02-01,66.01,64.55,63.0,65.99,6865,1084678
2021-02-02,66.75,64.64,64.5,65.05,5279,924246
2021-02-03,64.87,64.05,63.0,64.64,2745,604394
2021-02-04,64.12,63.29,63.0,63.69,3694,707435
2021-02-05,64.19,63.93,62.74,62.74,3970,1125863
2021-02-08,64.52,63.73,63.15,63.75,3039,464868
2021-02-09,64.57,64.36,63.22,63.54,2776,422868
2021-02-10,65.85,65.31,64.6,64.94,4821,724808
2021-02-11,65.2,63.43,62.9,65.04,4459,1734872
2021-02-12,64.52,63.93,62.89,62.89,3730,661676
2021-02-16,64.34,63.19,62.58,64.31,3980,1175805
2021-02-17,63.37,62.69,62.62,63.31,3727,599676
2021-02-18,63.58,63.06,62.33,62.46,3645,1160599
2021-02-19,63.42,63.04,62.95,63.32,4501,1430664
2021-02-22,63.59,63.23,62.53,62.85,3656,638004
2021-02-23,63.57,63.23,62.56,63.15,3591,643500
2021-02-24,64.41,64.35,63.09,63.09,3822,1068469
2021-02-25,64.9,64.46,64.01,64.28,3995,592846
2021-02-26,64.89,63.71,63.69,64.89,4452,1241521
2021-03-01,65.73,64.93,64.07,64.12,2542,531729
2021-03-02,65.84,65.41,64.33,64.73,3603,1039588
2021-03-03,67.65,67.0,65.2,65.51,5316,988650
2021-03-04,66.9,63.95,63.41,66.83,5509,1233737
2021-03-05,65.11,64.87,62.76,64.52,3934,650792
2021-03-08,66.33,65.22,64.65,64.97,3494,498647
2021-03-09,66.62,64.93,64.92,65.69,2679,1222893
2021-03-10,66.49,66.25,64.65,64.67,3038,517368
2021-03-11,67.64,67.3,65.92,66.1,3092,551523
2021-03-12,67.65,66.0,65.99,67.65,3368,556533
2021-03-15,66.63,66.61,65.52,65.94,2671,523634
2021-03-16,67.96,67.7,66.69,67.12,3743,704589
2021-03-17,68.63,68.58,67.41,67.99,2375,424692
2021-03-18,68.63,68.15,67.46,68.15,2609,1527882
2021-03-19,67.89,66.86,66.56,67.89,2472,1490144
2021-03-22,66.91,66.82,65.65,66.81,2122,418629
2021-03-23,67.71,66.96,66.345,66.42,2619,420979
2021-03-24,67.94,67.17,66.88,66.88,2632,417560
2021-03-25,68.14,67.86,66.8,67.41,2600,629297
2021-03-26,69.38,69.04,67.63,68.16,3079,762772
2021-03-29,70.64,69.91,69.5,69.83,3259,626367
2021-03-30,70.49,69.74,69.42,70.07,3073,607935
2021-03-31,70.02,68.45,68.28,70.02,3210,940145
2021-04-01,69.6,69.26,68.32,68.89,2169,479946
2021-04-05,69.7,69.23,68.93,69.08,2041,375825
2021-04-06,70.46,69.72,68.89,69.5,2996,648620
2021-04-07,70.24,69.63,69.41,69.86,3029,553540
2021-04-08,69.6,69.41,68.98,69.49,2686,1074552
2021-04-09,70.95,70.75,69.45,69.68,3316,1684255
2021-04-12,71.08,70.65,70.32,70.62,2593,520699
2021-04-13,71.23,71.12,70.2,70.45,2057,454444
2021-04-14,71.0,70.4,70.07,71.0,2675,2103483
2021-04-15,71.24,70.97,70.14,70.64,2198,470998
2021-04-16,71.41,70.58,69.85,71.41,2913,1180022
2021-04-19,71.33,71.03,70.44,70.71,2959,988421
